anime,anime_url,episodes,rate,genre_seinen,genre_shonen,genre_shojo,genre_bl,genre_action,genre_adventure,genre_comedy,genre_romance,genre_drama,genre_slice of life,genre_isekai,genre_mystery,genre_fantasy,genre_sci-fi,genre_sports,genre_supernatural,genre_thriller,genre_magical girls,genre_food,genre_harem,genre_historical,genre_mecha,genre_music,genre_post-apocalyptic
The Royal Tutor,https://www.crunchyroll.com/the-royal-tutor,13,4.55,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kenka Bancho Otome -Girl Beats Boys-,https://www.crunchyroll.com/kenka-bancho-otome-girl-beats-boys-,12,3.76,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Highschool Life of a Fudanshi,https://www.crunchyroll.com/the-highschool-life-of-a-fudanshi,12,3.7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamisama Hajimemashita,https://www.crunchyroll.com/kamisama-hajimemashita,25,4.9,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kabaneri of the Iron Fortress,https://www.crunchyroll.com/kabaneri-of-the-iron-fortress,14,4.14,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
Tsurune,https://www.crunchyroll.com/tsurune,14,4.71,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Isekai Izakaya: Japanese Food From Another World,https://www.crunchyroll.com/isekai-izakaya-japanese-food-from-another-world,24,4.21,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Clean Freak! Aoyama kun,https://www.crunchyroll.com/clean-freak-aoyama-kun,12,3.58,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Junjo Romantica,https://www.crunchyroll.com/junjo-romantica,24,4.79,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daily Lives of High School Boys,https://www.crunchyroll.com/daily-lives-of-high-school-boys,12,4.71,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovely Complex,https://www.crunchyroll.com/lovely-complex,24,4.73,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Death Note,https://www.crunchyroll.com/death-note,37,4.72,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
Inuyasha,https://www.crunchyroll.com/inuyasha,167,5,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vampire Knight,https://www.crunchyroll.com/vampire-knight,26,3.67,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
